Symbol,Name,Last Price,Open,High,Low,Prev Close,Volume,Change %,RSI 14
DENORA,DE NORA INDIA,805.7,822,842.65,800.25,805.7,0,0.0,69.65
BDR-IT,BDR BUILDCON,87.65,0,0,0,87.65,0,0.0,
STERTOOLS,STERLING TOOLS,245.34,258.7,258.7,243.7,245.34,0,0.0,77.32
SHRIRAMFIN,SHRIRAM FINANCE,1011.3,1006.95,1030.4,983.55,1011.3,0,0.0,70.55
PUNJABCHEM,PUNJAB CHEM & CROP PROT L,1035.4,1053.8,1055.4,1020,1035.4,0,0.0,76.19
GULFOILLUB,GULF OIL LUB. IND.,969.5,978,980.15,959.05,969.5,0,0.0,65.42
MIRZAINT,MIRZA INTERNATIONAL LIMIT,32.36,33.3,33.51,31.66,32.36,0,0.0,76.13
JAGSNPHARM,JAGSONPAL PHARMACEUTICALS,199.2,202.89,206,198.01,199.2,0,0.0,68.15
CREDITACC,CREDITACCESS GRAMEEN,1236.5,1243.3,1253.1,1215,1236.5,0,0.0,67.72
INDIANCARD,INDIAN CARD CLOTHING CO.,207.36,213,213,205.5,207.36,0,0.0,86.74
HAWKINCOOK,HAWKINS COOKERS,7474.27,7579.97,7579.97,7410,7474.27,0,0.0,
ELECTHERM,ELECTROTHERM (I),722.35,768.55,768.55,716,722.35,0,0.0,75.99
ELPROINTL,ELPRO INTERNATIONAL,108.63,109.67,110.9,105.6,108.63,0,0.0,
AARTIDRUGS,AARTI DRUGS,366.7,371.05,374.2,363.25,366.7,0,0.0,73.44
ALKYLAMINE,ALKYL AMINES CHEM.,1475.6,1540.2,1540.2,1460.3,1475.6,0,0.0,75.19
BOSCH-HCIL,BOSCH HOME COMFRT IND,1366.7,1424,1424,1361.1,1366.7,0,0.0,78.46
MPHASIS,MPHASIS,2175.8,2266,2284.2,2130,2175.8,0,0.0,55.97
SIGIND,SIGNET INDUSTRIES,49.53,50.6,52.52,49.07,49.53,0,0.0,60.23
DYNAMATECH,DYNAMATIC TECHNOLOGIES,11829.5,11760,12240,11689.5,11829.5,0,0.0,91.51
GUJRAFFIA,GUJARAT RAFFIA INDUST,41.42,42.5,43.37,41.25,41.42,0,0.0,67.61
RUCHINFRA,RUCHI INFRASTRUCTURE,6.24,6.24,6.78,6.1,6.24,0,0.0,73.34
ATLASCYCLE,ATLAS CYCLE (HARYANA),101.93,104.99,106.9,100.51,101.93,0,0.0,66.12
RAMCOIND,RAMCO INDUSTRIES,267.64,268.25,271,265.01,267.64,0,0.0,67.8
KOTHARIPET,KOTHARI PETROCHEM,134.73,139.95,139.95,134.1,134.73,0,0.0,83.03
HERITGFOOD,HERITAGE FOODS,355.25,362,364.1,352.1,355.25,0,0.0,77.68
SBCL,SHIVALIK BIMETAL CON.,592.3,521.7,625,520.1,592.3,0,0.0,89.79
BANKBARODA,BANK OF BARODA,274.13,276.2,276.8,269.55,274.13,0,0.0,71.44
SONACOMS,SONA BLW PRECISION FRGS L,564.85,574.9,577.95,560.5,564.85,0,0.0,70.17
SHYAMMETL,SHYAM METALICS AND ENGY L,820.7,836,836,812.2,820.7,0,0.0,61.94
GAIL,GAIL (INDIA),165.61,165.96,166.3,163.35,165.61,0,0.0,89.04
SKMEGGPROD,SKM EGG PROD EXPORT(I) LT,170.04,172.9,172.9,166.61,170.04,0,0.0,70.89
BANKINDIA,BANK OF INDIA,147.44,150.75,151.46,145.78,147.44,0,0.0,59.74
INDNIPPON,INDIA NIPPON ELECT ,785.25,783,796,770.6,785.25,0,0.0,71.84
CONCOR,CONTAINER CORP OF IND,502.8,505.05,506.9,499.05,502.8,0,0.0,80.9
INDRAMEDCO,INDRAPRASTHA MEDICAL CORP,406.45,407,414.5,403,406.45,0,0.0,63.32
TCIFINANCE,TCI FINANCE,14.36,14.46,14.64,14,14.36,0,0.0,60.83
LAKPRE-BZ,LAKSHMI PRE SCRE,4.98,4.98,4.98,4.98,4.98,0,0.0,46.81
KCPSUGIND,KCP SUGAR IND CORP,25.42,27.24,27.24,24.91,25.42,0,0.0,61.38
DODLA,DODLA DAIRY,1092.9,1115,1119.8,1088.1,1092.9,0,0.0,66.19
SNOWMAN,SNOWMAN LOGISTICS,40.63,41.46,42.88,40.16,40.63,0,0.0,71.0
KIMS,KRISHNA INST OF MED SCI L,651.2,656.05,657,644.75,651.2,0,0.0,61.33
INDSWFTLAB,IND SWIFT LABORATORIES LT,137.4,139,142.8,134.41,137.4,0,0.0,53.79
SAREGAMA,SAREGAMA INDIA,346.75,349,351.8,340.85,346.75,0,0.0,67.38
FDC,FDC,366.15,373.4,375,364.1,366.15,0,0.0,77.9
ENGINERSIN,ENGINEERS INDIA,242.89,243.5,246.3,238.61,242.89,0,0.0,90.7
MADRASFERT,MADRAS FERTILISERS,67.41,69.3,69.3,67.01,67.41,0,0.0,78.01
IPL,INDIA PESTICIDES,148.96,150.85,152.32,148.2,148.96,0,0.0,78.62
ADROITINFO,ADROIT INFOTECH,9.99,10.03,10.21,9.36,9.99,0,0.0,66.84
GANGAFORGE,GANGA FORGING,2.88,2.95,2.95,2.84,2.88,0,0.0,75.15
ICICIBANK,ICICI BANK,1326.2,1336.3,1348.8,1324,1326.2,0,0.0,68.21
IRCON,IRCON INTERNATIONAL,150.22,153.3,154.55,148.53,150.22,0,0.0,79.22
SHARDACROP,SHARDA CROPCHEM,1109.65,1113.95,1129.75,1090.4,1109.65,0,0.0,77.97
SVPGLOB,SVP GLOBAL TEXTILES,3.22,3.45,3.45,3.17,3.22,0,0.0,74.23
CLEAN,CLEAN SCIENCE & TECH,816.75,807.4,828.9,796.1,816.75,0,0.0,80.8
GRINFRA,G R INFRAPROJECTS,866.45,884,891.7,857.2,866.45,0,0.0,65.66
SHEMAROO,SHEMAROO ENTER.,102.76,105,105,100.32,102.76,0,0.0,84.55
ETERNAL,ETERNAL - ZOMATO,256.79,259.9,261.5,252.17,256.79,0,0.0,69.16
KPIGREEN,KPI GREEN ENERGY,448.9,460,464.1,446.4,448.9,0,0.0,82.79
SGBJUL29IV-GB,2.50%GOLDBONDS2029SR-IV,14959.95,14936,14970,14901,14959.95,0,0.0,76.7
SGIL,SYNERGY GREEN IND.,530.05,533.35,534.85,530,530.05,0,0.0,77.21
CIGNITITEC,CIGNITI TECHNOLOGIES,1136.2,1200.2,1200.2,1124.1,1136.2,0,0.0,53.15
JAICORPLTD,JAI CORP,113.74,116.99,117.59,112.2,113.74,0,0.0,80.91
TATVA,TATVA CHIN PHARM CHEM,1269.9,1311.1,1323.5,1260,1269.9,0,0.0,74.66
STYLAMIND,STYLAM INDUSTRIES,2234.7,2248,2248,2230,2234.7,0,0.0,76.69
